mango2, /home/hong/slowfast
config files: ['configs/contrastive_ssl/custom_BYOL_SlowR50_8x8.yaml']
num gpus: 1
[03/29 20:39:37][INFO] memchecker.py:   95: MemCheck
[03/29 20:39:37][INFO] kinetics.py:  117: Constructing Kinetics train...
--------------->>>>>
/home/hong/slowfast/index_files/train.csv
[03/29 20:39:37][INFO] kinetics.py:  174: Constructing kinetics dataloader (size: 1998 skip_rows 0) from /home/hong/slowfast/index_files/train.csv 
[03/29 20:39:37][INFO] kinetics.py:  193: init workers
init done
[03/29 20:39:37][INFO] memchecker.py:  102: Memory check model for 1998 iterations
iter346, time differene: 0.0037984848022460938
iter347, time differene: 0.003357410430908203
iter348, time differene: 0.005895376205444336
iter349, time differene: 0.0005137920379638672
iter350, time differene: 0.00765538215637207
iter351, time differene: 0.0037419795989990234
iter352, time differene: 0.017367124557495117
iter353, time differene: 0.0007929801940917969
iter354, time differene: 0.00047659873962402344
iter355, time differene: 0.000518798828125
iter356, time differene: 0.005712270736694336
iter357, time differene: 0.0004794597625732422
iter358, time differene: 0.0005364418029785156
iter359, time differene: 0.005587577819824219
iter360, time differene: 0.0007479190826416016
iter361, time differene: 0.003445148468017578
iter362, time differene: 0.01829671859741211
iter363, time differene: 0.0007004737854003906
iter364, time differene: 0.0029277801513671875
iter365, time differene: 0.0006570816040039062
iter366, time differene: 0.009444475173950195
iter367, time differene: 0.0006291866302490234
iter368, time differene: 0.0006425380706787109
iter369, time differene: 0.000682830810546875
iter370, time differene: 0.0005860328674316406
iter371, time differene: 0.002307891845703125
iter372, time differene: 0.00845479965209961
iter373, time differene: 0.0006666183471679688
iter374, time differene: 0.006403446197509766
iter375, time differene: 0.0005750656127929688
iter376, time differene: 0.012463092803955078
iter377, time differene: 0.0005238056182861328
iter378, time differene: 0.007253170013427734
iter379, time differene: 0.0034377574920654297
iter380, time differene: 0.0008327960968017578
iter381, time differene: 0.0005998611450195312
iter382, time differene: 0.0042536258697509766
iter383, time differene: 0.005702018737792969
iter384, time differene: 0.011639595031738281
iter385, time differene: 0.0006284713745117188
iter386, time differene: 0.007564067840576172
iter387, time differene: 0.0006911754608154297
iter388, time differene: 0.006454944610595703
iter389, time differene: 0.0006494522094726562
iter390, time differene: 0.0005736351013183594
iter391, time differene: 0.0005979537963867188
iter392, time differene: 0.010954618453979492
